project_title,project_number,project_year,sponsoring_forum,proposing_economy,project_status,fund_account,sub_fund,project_session,apec_funding,co_funding_amount,total_project_value,project_cost_usd,topics,committee,other_fora_involved,co_sponsoring_economies,organization_1,organization_2,link
Incubator for Enhancing Commercial Buildings Energy Performance,EWG 14 2016A,2016,Energy Working Group (EWG),Australia,Completed Project,APEC Support Fund,ASF: Energy Efficiency,Session 2,"149,603","46,812","196,415",,Energy,SOM Steering Committee on Economic and Technical Cooperation (SCE),,China; Indonesia; Philippines; Singapore; Chinese Taipei,ClimateWorks Australia,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=13261
APEC Fossil Fuel Subsidy Reform: Workshop on Effective Pricing Mechanisms and Mitigation Strategies,EWG 12 2016A,2016,Energy Working Group (EWG),United States,Completed Project,APEC Support Fund,ASF: Energy Efficiency,Session 2,"89,565","43,049","132,614",,Energy,SOM Steering Committee on Economic and Technical Cooperation (SCE),Finance Ministers Process (FMP),Brunei Darussalam; Mexico; New Zealand; Philippines; Chinese Taipei,US Department of Energy,US-ATAARI,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=13260
Filling the Gap to Reach the Goal of Doubling Renewable Energy in the APEC Region,EWG 11 2016A,2016,Energy Working Group (EWG),Chinese Taipei,Completed Project,APEC Support Fund,ASF: Energy Efficiency,Session 2,"80,000","50,000","130,000",,Energy,SOM Steering Committee on Economic and Technical Cooperation (SCE),,Philippines; Thailand; United States,"Bureau of Energy, Ministry of Economic Affairs",Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=13257
"APEC Peer Review on Energy Efficiency (PREE), Phase 6",EWG 10 2016A,2016,Energy Working Group (EWG),Japan,Completed Project,APEC Support Fund,ASF: Energy Efficiency,Session 2,"100,899","189,451","290,350",,Energy,SOM Steering Committee on Economic and Technical Cooperation (SCE),,Mexico; Thailand,"Ministry of Economy, Trade and Industry (METI)",Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=13255
"Workshop to Develop Qualified Product Lists for High-Quality and High-Efficiency Commercial, Industrial, and Outdoor Lighting Products and Control Systems in the APEC Region",EWG 08 2016A,2016,Energy Working Group (EWG),United States,Completed Project,APEC Support Fund,ASF: Energy Efficiency,Session 1,"99,523","66,935","166,458",,Energy,SOM Steering Committee on Economic and Technical Cooperation (SCE),Sub-Committee on Standards and Conformance (SCSC),China; New Zealand; Chinese Taipei; Thailand,US Department of Energy,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=13144
Reducing Losses in Power Distribution through Improved Efficiency of Distribution Transformers,EWG 05 2016A,2016,Energy Working Group (EWG),China,Completed Project,APEC Support Fund,ASF: Energy Efficiency,Session 1,"189,400","127,800","317,200",,Energy,SOM Steering Committee on Economic and Technical Cooperation (SCE),,Philippines; Chinese Taipei; Thailand; United States,China Standard Certification Company,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=13141
Research on Energy Storage Technologies to Build Sustainable Energy Systems in the APEC Region,EWG 04 2016A,2016,Energy Working Group (EWG),China,Completed Project,APEC Support Fund,ASF: Energy Efficiency,Session 1,"142,000","136,750","278,750",,Energy,SOM Steering Committee on Economic and Technical Cooperation (SCE),,Australia; Japan; United States,China Energy Storage Alliance,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=13139
Gaps Assessment on APEC Energy Efficiency and Conservation Work Toward Fulfilling the Leaders' Energy Intensity Reduction Goal,EWG 01 2016A,2016,Energy Working Group (EWG),United States,Completed Project,APEC Support Fund,ASF: Energy Efficiency,Session 1,"77,000","20,000","97,000",,Energy,SOM Steering Committee on Economic and Technical Cooperation (SCE),,China; Chinese Taipei; Thailand; Singapore,"US Department of Energy, Office of Asian Affairs",Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=13138
Best Practices for Developing the Green Energy Smart Farm in the APEC Region,EWG 23 2015A,2015,Energy Working Group (EWG),Chinese Taipei,Completed Project,APEC Support Fund,ASF: Energy Efficiency,Session 2,"50,000","60,000","110,000",,Energy,SOM Steering Committee on Economic and Technical Cooperation (SCE),,China; Korea; Thailand; United States,"Bureau of Energy, Ministry of Economic Affairs",Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=12972
Renewable Energy Safety in APEC,EWG 17 2015A,2015,Energy Working Group (EWG),Thailand,Completed Project,APEC Support Fund,ASF: Energy Efficiency,Session 1,"120,000",0,"120,000",,Energy,SOM Steering Committee on Economic and Technical Cooperation (SCE),,Philippines; United States,Ministry of Energy,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=12828
Small and Medium PV System Database in the APEC Region,EWG 14 2015A,2015,Energy Working Group (EWG),Thailand,Completed Project,APEC Support Fund,ASF: Energy Efficiency,Session 1,"100,000","30,000","130,000",,Energy,SOM Steering Committee on Economic and Technical Cooperation (SCE),,Japan; Chinese Taipei; United States,Ministry of Energy,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=12824
APEC Water-Energy Nexus Expert Workshop,EWG 07 2015A,2015,Energy Working Group (EWG),United States,Completed Project,APEC Support Fund,ASF: Energy Efficiency,Session 1,"100,000","25,000","125,000",,Energy,SOM Steering Committee on Economic and Technical Cooperation (SCE),,Australia; China; Japan,US Department of Energy,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=12817
Water-Energy Nexus: Coal-Based Power Generation and Conversion - Saving Water,EWG 08 2014A,2014,Energy Working Group (EWG),United States,Completed Project,APEC Support Fund,ASF: Energy Efficiency,Session 2,"125,000","25,000","150,000",,Energy,SOM Steering Committee on Economic and Technical Cooperation (SCE),,Australia; China; Japan,"US Department of Energy, National Energy Technology Laboratory",Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=12715
APEC Workshop on Strengthening Tourism Business Resilience against the impact of Terrorist Attack,CTWG 01 2016A,2016,Counter Terrorism Working Group (CTWG),Indonesia,Completed Project,APEC Support Fund,ASF: Human Security,Session 1,"120,000","30,000","150,000",,Counter Terrorism,SOM Steering Committee on Economic and Technical Cooperation (SCE),,Australia; Papua New Guinea; Chinese Taipei,National Counter Terrorism Agency of Indonesia (BNPT),Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=13113
Capacity-Building for SMEs on Competition Policy and Law,EC 07 2014A,2014,Economic Committee (EC),Philippines,Completed Project,APEC Support Fund,ASF: APEC's New Strategy on Structural Reform (ANSSR),Session 2,"173,250","5,500","178,750",,Structural Reform,Economic Committee (EC),,Thailand; Viet Nam,Philippine Competition Commission,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=12697
Best Practices Sharing of Standards and Conformity Assessment Implementation on Smart Cities in APEC Region,CTI 08 2017A,2017,Sub-Committee on Standards and Conformance (SCSC),Viet Nam,Completed Project,APEC Support Fund,ASF: General Fund,Session 1,"97,000",0,"97,000",,Conformance; Standards and Conformance,Committee on Trade and Investment (CTI),,Australia; China; Indonesia; Japan; Korea; Malaysia; Papua New Guinea; Philippines; Singapore; Thailand; United States,"Vietnam Certification Centre (QUACERT), Directorate for Standards, Metrology and Quality (STAMEQ)","Vietnam Certification Centre (QUACERT), Directorate for Standards, Metrology and Quality (STAMEQ)",https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=13470
10th Conference on Good Regulatory Practices,CTI 07 2017A,2017,Sub-Committee on Standards and Conformance (SCSC),Viet Nam,Completed Project,APEC Support Fund,ASF: Renewed APEC Agenda on Structural Reform (RAASR),Session 1,"139,000",0,"139,000",,Conformance; Standards and Conformance,Committee on Trade and Investment (CTI),,Australia; Canada; Chile; Indonesia; Korea; Papua New Guinea; Peru; Philippines; Thailand; United States,"Ministry of Science and Technology, Directorate for Standards, Metrology and Quality (STAMEQ)",Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=13385
Enhancing Regulator Expertise on the World Trade Organisation Agreement on Technical Barriers to Trade,CTI 06 2017A,2017,Sub-Committee on Standards and Conformance (SCSC),United States,Completed Project,APEC Support Fund,ASF: General Fund,Session 1,"150,000","5,000","155,000",,Conformance; Standards and Conformance,Committee on Trade and Investment (CTI),,Australia; Chile; Indonesia; Japan; New Zealand; Papua New Guinea; Peru; Philippines; Thailand; Viet Nam,Office of the US Trade Representative,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=13483
Harmonization of Maximum Residue Limit (MRL) Setting Process in the Asian Region through Training on Pesticide Residue Evaluation,CTI 32 2016T,2016,Sub-Committee on Standards and Conformance (SCSC),Japan,Completed Project,TILF Special Account,None,Session 2,"91,000","143,139","234,139",,Conformance; Standards and Conformance,Committee on Trade and Investment (CTI),,Malaysia; Singapore; Thailand,"Ministry of Agriculture, Forestry and Fisheries",Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=13220
Best Practices Sharing and Technical Capacity Building for Measurement and Verification Standards of Energy Savings,CTI 17 2016A,2016,Sub-Committee on Standards and Conformance (SCSC),China,Completed Project,APEC Support Fund,ASF: Energy Efficiency,Session 1,"60,000","60,000","120,000",,Conformance; Standards and Conformance,Committee on Trade and Investment (CTI),,"Hong Kong, China; Indonesia; Viet Nam",China National Institute of Standardisation,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=13134
Facilitating Trade in Information and Communications Technologies (ICT) Products through Encouragement of Electronic Labeling Best Practices,CTI 16 2016A,2016,Sub-Committee on Standards and Conformance (SCSC),United States,Completed Project,APEC Support Fund,ASF: General Fund,Session 1,"74,721","46,669","121,390",,Conformance; Standards and Conformance,Committee on Trade and Investment (CTI),,Canada; Japan; Malaysia; Mexico; Peru,"US Department of Commerce, International Trade Administration","US Department of Commerce, International Trade Administration",https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=13153
Regional Workshop on Measurement and Standards for Grain Food Safety and Free Trade,CTI 08 2016T,2016,Sub-Committee on Standards and Conformance (SCSC),China,Completed Project,TILF Special Account,None,Session 1,"93,423","54,621","148,044",,Conformance; Standards and Conformance,Committee on Trade and Investment (CTI),,"Australia; Hong Kong, China; Indonesia; Japan; Korea; Malaysia; Mexico; Peru; Philippines; Singapore; Chinese Taipei; Thailand; United States; Viet Nam",National Institute of Metrology (NIM),Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=13072
Towards A Robust Food Safety System in the APEC Region through Regulatory and Public-Private Cooperation,CTI 07 2016T,2016,Sub-Committee on Standards and Conformance (SCSC),Australia; China; United States,Completed Project,TILF Special Account,None,Session 1,"99,500","224,902","324,402",,Conformance; Standards and Conformance,Committee on Trade and Investment (CTI),,Canada; Chile; New Zealand; Papua New Guinea; Peru; Philippines; Chinese Taipei; Thailand; Viet Nam,"Import & Export Food Safety Bureau, the General Administration of Quality Supervision, Inspection & Quarantine (AQSIQ)",Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=13071
Preparing Trainers to Deliver Sustainable Education to Prevent Food Safety Concerns Threatening Aquaculture Development including Related Concerns for Disease Management - a Joint FSCF PTIN and World Bank Global Food Safety Partnership (GFSP) Program,CTI 09 2015,2015,Sub-Committee on Standards and Conformance (SCSC),United States; Viet Nam,Completed Project,General Project Account,None,Session 1,"73,285","64,850","138,135",,Conformance; Standards and Conformance,Committee on Trade and Investment (CTI),,Australia; Chile; China; Indonesia; Chinese Taipei; Thailand,US Department of Commerce,"Department of Science, International Collaboration and Education, Research Institute for Aquaculture No 1 (RIA1), Ministry of Agriculture and Rural Development (MARD)",https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=12800
APEC Digital Hub for Mental Health Colloquium,CTI 13 2017A,2017,Life Sciences Innovation Forum (LSIF),Canada,Completed Project,APEC Support Fund,ASF: Health and Emergency Preparedness,Session 1,"28,000","134,039","162,039",,Life Sciences,Committee on Trade and Investment (CTI),,Australia; Chile; Japan; Korea; Malaysia; Philippines; Singapore,University of British Columbia,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=13457
SMEs Innovation: Capacity Building on IP Strategy,CTI 15 2016A,2016,Intellectual Property Rights Experts Group (IPEG),Mexico,Completed Project,APEC Support Fund,"ASF: Innovative Development, Economic Reform and Growth (IERG)",Session 1,"90,500","88,000","178,500",,Intellectual Property,Committee on Trade and Investment (CTI),,Korea; Philippines; Russia,Mexican Institute of Industrial Property,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=13077
"Promoting Innovation through a Mechanism for IP Valuation, Financing and Leveraging IP Assets",CTI 14 2016A,2016,Intellectual Property Rights Experts Group (IPEG),Philippines,Completed Project,APEC Support Fund,ASF: General Fund,Session 1,"127,375",0,"127,375",,Intellectual Property,Committee on Trade and Investment (CTI),,Korea; Mexico; Russia,Intellectual property Office of the Philippines (IPOPHL),Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=13133
Capacity Building Workshop on Investor-State Dispute Settlement (ISDS) Prevention and Management,CTI 03 2017A,2017,Investment Experts Group (IEG),Peru,Completed Project,APEC Support Fund,ASF: General Fund,Session 1,"135,000","2,360","137,360",,Investment,Committee on Trade and Investment (CTI),,Australia; Canada; Chile; Japan; Mexico; Papua New Guinea; United States,Ministry of Foreign Trade and Tourism,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=13464
Seminar on Capacity Building for Compliance with Cross-Border Privacy Rules System in APEC,CTI 10 2017T,2017,Electronic Commerce Steering Group (ECSG),Chinese Taipei,Completed Project,TILF Special Account,None,Session 1,"80,000","80,000","160,000",,Electronic Commerce,Committee on Trade and Investment (CTI),,Australia; Japan; Korea; Mexico; Thailand; United States; Viet Nam,"Multilateral Trade Affairs Division, Bureau of Foreign Trade, Ministry of Economic Affairs",Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=13421
"Enhance Micro, Small and Medium Enterprises' (MSMEs) Capacity for Inclusive Development by Cross-Border E-Commerce Adoption",CTI 20 2016,2016,Electronic Commerce Steering Group (ECSG),Viet Nam,Completed Project,General Project Account,None,Session 2,"115,245","7,500","122,745",,Electronic Commerce,Committee on Trade and Investment (CTI),,Canada; Japan; Korea; Peru; Philippines; United States,"Vietnam E-Commerce and Information Technology Agency, Ministry of Industry and Trade",Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=13271
Implementing the APEC Electric Vehicles Roadmap Workshop,CTI 12 2017A,2017,Automotive Dialogue (AD),United States,Completed Project,APEC Support Fund,ASF: Energy Efficiency,Session 1,"60,000","54,094","114,094",,Automotive and Transportation,Committee on Trade and Investment (CTI),Energy Working Group (EWG),Japan; Malaysia; Philippines; Thailand,US Department of Commerce,US-ATAARI,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=13405
APEC Workshop on SMEs' Integration into Global Value Chains in Logistics,CTI 11 2017T,2017,Committee on Trade and Investment (CTI),Viet Nam,Completed Project,TILF Special Account,None,Session 1,"99,084","25,000","124,084",,Trade Facilitation,Committee on Trade and Investment (CTI),,Indonesia; Korea; Mexico,Ministry of Industry and Trade (MOIT),Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=13422
FTAAP Capacity Building Workshop on FTA Negotiation Skills on Competition under the 2nd REI CBNI,CTI 02 2017T,2017,Committee on Trade and Investment (CTI),Japan,Completed Project,TILF Special Account,None,Session 1,"105,148","23,311","128,459",,Trade Facilitation,Committee on Trade and Investment (CTI),,Korea; Peru; Chinese Taipei; Viet Nam,Ministry of Foreign Affairs,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=13420
Capacity Building for Quality Infrastructure Investment in Rapidly Urbanizing APEC Region,CTI 29 2016T,2016,Committee on Trade and Investment (CTI),Japan,Completed Project,TILF Special Account,None,Session 2,"195,000",0,"195,000",,Trade Facilitation,Committee on Trade and Investment (CTI),,Chile; Peru; Philippines; Thailand; United States,"Ministry of Land, Infrastructure, Transport and Tourism",Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=13224
Strengthening Transparency and Participation in the Processes of Negotiation of Trade Agreements,CTI 28 2016A,2016,Committee on Trade and Investment (CTI),Chile,Completed Project,APEC Support Fund,ASF: Free Trade Area of the Asia-Pacific and Global Value Chains (FTAAP and GVCs),Session 2,"124,616","25,000","149,616",,Trade Facilitation,Committee on Trade and Investment (CTI),,China; Mexico; Papua New Guinea; Philippines; Chinese Taipei; Viet Nam,"DIRECON, Ministry of Foreign Affairs",Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=13246
"APEC Workshop on FTAAP Building Blocks: The Pacific Alliance Contribution to APEC Work in Services, MSMEs and Trade Facilitation",CTI 21 2016A,2016,Committee on Trade and Investment (CTI),Chile,Completed Project,APEC Support Fund,ASF: Free Trade Area of the Asia-Pacific and Global Value Chains (FTAAP and GVCs),Session 2,"148,216","25,000","173,216",,Trade Facilitation,Committee on Trade and Investment (CTI),,Canada; Korea; Mexico; New Zealand; Peru,General Directorate for International Economic Affairs,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=13265
SOM Dialogue on Regional Trade Agreements (RTAs)/Free Trade Agreements (FTAs),CTI 18 2016,2016,Committee on Trade and Investment (CTI),Viet Nam,Completed Project,General Project Account,None,Session 2,"126,150","18,750","144,900",,Trade Facilitation,Committee on Trade and Investment (CTI),,Australia; Chile; Indonesia; Japan; New Zealand; Peru; Chinese Taipei; Thailand; China,Ministry of Industry and Trade,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=13270
Promoting Best Practices on Licensing for SMEs in Creative Industries,IPEG 02 2017S,2017,Intellectual Property Rights Experts Group (IPEG),"Hong Kong, China",Completed Project,Self-Funded,,,,,,"$128,000.00",Intellectual Property,Committee on Trade and Investment (CTI),,Korea; Mexico,"Intellectual Property Department, The Government of the Hong Kong Special Administrative Region of the People's Republic of China",Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=13689
APEC Workshop on Cybersecurity Incident Management Awareness,TEL 07 2017S,2017,Telecommunications and Information Working Group (TELWG),Malaysia,Completed Project,Self-Funded,,,,,,$0.00,Telecommunications,SOM Steering Committee on Economic and Technical Cooperation (SCE),,Thailand,Malaysian communicatons and Multimedia Commission,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=13697
The APEC Symposium on Agricultural Science Data Sharing and Service,ATC 05 2017S,2017,Agricultural Technical Cooperation Working Group (ATCWG),China,Completed Project,Self-Funded,,,,,,"$90,000.00",Agriculture,SOM Steering Committee on Economic and Technical Cooperation (SCE),,,"Agricultural Information Institute, Chinese Academy of Agricultural Sciences",Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=13688
"Best Practices on Collection, Validation and Publication of Information and Communications Technology (ICTs) Statistical Information",TEL 08 2017S,2017,Telecommunications and Information Working Group (TELWG),Mexico,Completed Project,Self-Funded,,,,,,$0.00,Telecommunications,SOM Steering Committee on Economic and Technical Cooperation (SCE),,Peru; Russia,Federal Telecommunications Institute (Mexico),Federal Telecommunications Institute (Mexico),https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=13699
(LSG) Regulatory Workshop Overview of Mexican Telecom Regulatory Framework,TEL 06 2017S,2017,Telecommunications and Information Working Group (TELWG),Mexico,Completed Project,Self-Funded,,,,,,$0.00,Telecommunications,SOM Steering Committee on Economic and Technical Cooperation (SCE),,,Federal Telecommunications Institute,Federal Telecommunications Institute,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=13492
(LSG) Industry Roundtable Emerging Regulations on the Internet Economy,TEL 05 2017S,2017,Telecommunications and Information Working Group (TELWG),Mexico,Completed Project,Self-Funded,,,,,,$0.00,Telecommunications,SOM Steering Committee on Economic and Technical Cooperation (SCE),,,Federal Telecommunications Institute,Federal Telecommunications Institute,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=13493
Protecting the Rights of Telecommunication Services Users,TEL 03 2017S,2017,Telecommunications and Information Working Group (TELWG),Peru,Completed Project,Self-Funded,,,,,,$0.00,Telecommunications,SOM Steering Committee on Economic and Technical Cooperation (SCE),,Mexico,Telecommunications Regulatory Agency (OSIPTEL),Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=13454
Urbanization and Agricultural Modernization Development Conference in the Asian-Pacific Region,ATC 01 2017S,2017,Agricultural Technical Cooperation Working Group (ATCWG),China,Completed Project,Self-Funded,,,,,,"$51,000.00",Agriculture,SOM Steering Committee on Economic and Technical Cooperation (SCE),,,"Institute of Agricultural, Economics and Development, CAAS",Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=13372
APEC Workshop on Wildlife Rabies Management,ATC 04 2017S,2017,Agricultural Technical Cooperation Working Group (ATCWG),Chinese Taipei,Completed Project,Self-Funded,,,,,,"$72,796.00",Agriculture,SOM Steering Committee on Economic and Technical Cooperation (SCE),,Korea; United States,"Bureau of Animal and Plant Health Inspection and Quarantine, Council of Agriculture",Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=13685
Workshop on Pathway Exploration on Agricultural Sustainable Development,ATC 03 2017S,2017,Agricultural Technical Cooperation Working Group (ATCWG),China,Completed Project,Self-Funded,,,,,,"$59,259.00",Agriculture,SOM Steering Committee on Economic and Technical Cooperation (SCE),,Chile; Thailand,"Institute of Agricultural Resources and Regional Planning, Chinese Academy of Agricultural Sciences",Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=13679
Seminar on Opportunities and Challenges to Commercializing New Plant Varieties for Developing Economies and SMEs,IPEG 01 2017S,2017,Intellectual Property Rights Experts Group (IPEG),United States,Completed Project,Self-Funded,,,,,,"$30,000.00",Intellectual Property,Committee on Trade and Investment (CTI),,Japan; Peru; Viet Nam,US Patent and Trademark Office,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=13545
"Needs Assessment for Sustainable Agriculture in APEC Region and the""Food-Security-Climate-Resource Nexus"" Workshop",ATC 02 2017S,2017,Agricultural Technical Cooperation Working Group (ATCWG),China,Completed Project,Self-Funded,,,,,,"$49,000.00",Agriculture,SOM Steering Committee on Economic and Technical Cooperation (SCE),,Australia; United States,"Institute of Environment and Sustainable Development in Agriculture, Chinese Academy of Agricultural Sciences",Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=13678
APEC Seminar on Food Value Chains to Foster the Rural-Urban Development in the Asia-Pacific Region,PPFS 01 2017S,2017,Policy Partnership on Food Security (PPFS),Japan,Completed Project,Self-Funded,,,,,,"$100,000.00",Food Security,SOM Steering Committee on Economic and Technical Cooperation (SCE),,Chile; Viet Nam,"Ministry of Agriculture, Forestry and Fisheries",Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=13533
Promoting Participation of Persons with Disabilities in Economic Activities,GoFD 01 2016S,2016,Group of Friends on Disability (GoFD),China,Completed Project,Self-Funded,,,,,,"$100,000.00",Disability,SOM Steering Committee on Economic and Technical Cooperation (SCE),,,China Disabled Persons' Federation,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=13207
Exploring Options for Future APEC-OECD Cooperation on Good Regulatory Practice (GRP),EC 01 2017S,2017,Economic Committee (EC),New Zealand,Completed Project,Self-Funded,,,,,,"$4,000.00",Structural Reform,Economic Committee (EC),,Australia; United States; Chinese Taipei,"Ministry of Business, Innovation and Employment",Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=13544
Conference on Management and Related Scientific Detection Technology for Adulteration of Dietary Supplements with Drugs and Drug Analogs,SCSC 01 2017S,2017,Sub-Committee on Standards and Conformance (SCSC),Chinese Taipei,Completed Project,Self-Funded,,,,,,"$82,000.00",Conformance; Standards and Conformance,Committee on Trade and Investment (CTI),,Australia; Chile; Thailand,"Food and Drug Administration (TFDA), Chinese Taipei",Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=13365
Developing the Methodology for Measuring and Realizing the Sustainability of Cities in the APEC Region,SOM 01 2016S,2016,Senior Officials Meeting (SOM),Japan,Completed Project,Self-Funded,,,,,,$0.00,Trade Facilitation; Energy; Environment; Science and Technology,Senior Officials Meeting (SOM),"Energy Working Group (EWG); APEC Policy Partnership on Science, Technology and Innovation (PPSTI)",Australia; Singapore; Viet Nam,"Ministry of Economy, Trade and Industry","Ministry of Economy, Trade and Industry",https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=13323
Developing Indicators to Assess the Strength of Standards and Conformance (S&C) Infrastructure in APEC,SCSC 06 2016S,2016,Sub-Committee on Standards and Conformance (SCSC),Singapore; Viet Nam,Completed Project,Self-Funded,,,,,,"$57,000.00",Conformance; Standards and Conformance,Committee on Trade and Investment (CTI),,Australia; Japan; Korea; Peru; Philippines; United States,SPRING Singapore,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=13217
Phase 2 - Implementation of the APEC Import Maximum Residue Limit (MRL) Guideline for Pesticides (the Guideline) in APEC Member Economies,SCSC 03 2016S,2016,Sub-Committee on Standards and Conformance (SCSC),Australia,Completed Project,Self-Funded,,,,,,"$150,000.00",Conformance; Standards and Conformance,Committee on Trade and Investment (CTI),,China; New Zealand; Chinese Taipei; Thailand; United States,Food Standards Australia New Zealand (FSANZ),Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=13205
APEC Training Workshop on Marine Spatial Planning and Marine Protected Areas Management,OFWG 05 2017S,2017,Oceans and Fisheries Working Group (OFWG),China,Completed Project,Self-Funded,,,,,,"$75,000.00",Fisheries; Marine Conservation; Oceans,SOM Steering Committee on Economic and Technical Cooperation (SCE),,Thailand; United States,"APEC Marine Sustainale Development Center / Third Institute of Oceanography, State Oceanic Administration (SOA)",Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=13683
Workshop on Best Practices Sharing on Marine Debris Management in Coastal Cities of APEC Region,OFWG 04 2017S,2017,Oceans and Fisheries Working Group (OFWG),China,Completed Project,Self-Funded,,,,,,"$80,000.00",Fisheries; Marine Conservation; Oceans,SOM Steering Committee on Economic and Technical Cooperation (SCE),,Thailand; United States,APEC Marine Sustainable Development Center,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=13682
APEC Workshop on Commercialization and Popularization of Research and Market-based Innovations through Policy Translation,PPSTI 02 2015S,2015,"APEC Policy Partnership on Science, Technology and Innovation (PPSTI)",Philippines,Completed Project,Self-Funded,,,,,,"$20,000.00",Science and Technology,SOM Steering Committee on Economic and Technical Cooperation (SCE),,,"Food and Nutrition Research Institute, Department of Sciience and Technology",Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=12762
Developing Traveler-Friendly Airports to Improve the Passenger Experience in the APEC Region,TWG 01 2015,2015,Tourism Working Group (TWG),United States,Completed Project,General Project Account,None,Session 1,"60,000","95,000","155,000",,Tourism,SOM Steering Committee on Economic and Technical Cooperation (SCE),,Australia; Mexico; Philippines; Thailand,"US Department of Commerce, National Travel and Tourism Office",US-ATAARI,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=12866
APEC Training Course on Common Principles to Shipping Policy,TPT 02 2015T,2015,Transportation Working Group (TPTWG),Japan; Thailand,Completed Project,TILF Special Account,None,Session 1,"82,429","20,608","103,037",,Transportation,SOM Steering Committee on Economic and Technical Cooperation (SCE),,Canada; Indonesia; Philippines; Viet Nam,Port Authority of Thailand (PAT),Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=12799
